time_sec,traffic_flow_count,net_load_kw,charging_load_kw,discharging_load_kw,v_sourcebus,v_650,v_632,v_633,v_634,v_645,v_646,v_671,v_684,v_652,v_611,v_680,v_675,time_hour
0,7,45.0,70.0,25.0,0.9999848336989476,0.9999903724809024,1.0000000835554703,0.9973976957705032,0.9984707767154665,1.0011411748036645,1.0262695062211042,1.0279185272550437,1.024554242145,1.025088736108737,1.0272321109748002,1.0236424325711198,1.0250887357628358,0.0
600,8,70.0,70.0,0.0,0.9999845576325284,0.9999904540117204,0.9999965078511781,0.9973911829354895,0.998459539359138,1.0003358585936033,1.0262597583286333,1.027904136154125,1.0172223898550325,1.0250825421374719,1.0272174877871543,1.016300914384676,1.0250825417915612,0.16666666666666666
1200,9,-25.0,0.0,25.0,0.9999854376006797,0.9999899447574762,1.0000084057133258,0.9973857612840774,0.9984770759965637,1.002952400476909,1.0262549107575654,1.0279236740331812,1.0208387004827266,1.025076506651695,1.027235520300739,1.019923475059336,1.025076506305781,0.3333333333333333
1800,8,-25.0,0.0,25.0,0.9999922066021962,0.99999422854089,1.0000144096945205,0.99883278882035,0.9993900724798579,1.0042741195131404,1.0220244267544765,1.0229509343140673,1.016388098920794,1.021137622906728,1.0224319229696917,1.0156989504539842,1.0211376226462947,0.5
2400,11,140.0,140.0,0.0,0.9999907298688497,0.9999951450956757,0.9999942723351491,0.9988502881338219,0.9993631639364092,0.9998604752651937,1.0220434139245853,1.022923303935495,1.0165376373541666,1.021155661899793,1.02240669683193,1.015846441080319,1.0211556616393627,0.6666666666666666
3000,11,70.0,70.0,0.0,0.9999913383686647,0.9999947305970565,1.000002727951633,0.9988389508837234,0.9993703525908827,1.001705596282971,1.0220299410476614,1.0229292472943123,1.012853286991481,1.0211439991559699,1.0224113593892876,1.0121594950255477,1.0211439988955362,0.8333333333333334
3600,8,0.0,0.0,0.0,0.9999919778587689,0.9999943610737732,1.0000113641039123,0.9988342570233167,0.9993845735019243,1.0036050993469894,1.0220256764370854,1.0229448154217766,1.0154653472797701,1.0211390876895656,1.022426097521834,1.0147749658018697,1.0211390874291288,1.0
4200,6,0.0,0.0,0.0,0.9999919783307726,0.9999943612981693,1.0000113648718845,0.9988343561901777,0.9993846248985975,1.0036052656760446,1.0220258069570387,1.0229448882914363,1.015465577155676,1.0211392190241224,1.0224261709779878,1.0147752055980388,1.0211392187636865,1.1666666666666667
4800,7,0.0,0.0,0.0,0.9999919783307692,0.9999943612981672,1.0000113648718805,0.9988343561894957,0.999384624898066,1.0036052656752077,1.0220258069561132,1.0229448882907024,1.0154655771545276,1.0211392190231692,1.022426170977244,1.014775205596851,1.0211392187627333,1.3333333333333333
5400,13,0.0,0.0,0.0,0.9999954895207412,0.9999966547407728,1.0000146300247432,0.9995892836136105,0.9998781363590913,1.0043310477542389,1.0230560089175018,1.0236171210542369,1.0164477822002747,1.0223181776972892,1.0231849903829933,1.0158731654092086,1.02231817748051,1.5
