time_sec,traffic_flow_count,net_load_kw,charging_load_kw,discharging_load_kw,v_sourcebus,v_650,v_632,v_633,v_634,v_645,v_646,v_671,v_684,v_652,v_611,v_680,v_675,time_hour
0,7,45.0,70.0,25.0,0.9998861819435183,0.9998972338190762,0.999921502508858,0.976159972347028,0.9785148337545031,0.9841596617264436,1.0451983708236872,1.0430810796558094,1.031877657605462,1.0423034761686019,1.0413750480705317,1.0296162302492726,1.0423034753180946,0.0
600,8,70.0,70.0,0.0,0.9998849100034954,0.9998960485815692,0.9999203752337182,0.9758895180238509,0.9782542397730778,0.9839370595875454,1.0448115817728845,1.0427092374378728,1.037646267169751,1.0419078974655487,1.041004328578066,1.0354028809817326,1.0419078966147477,0.16666666666666666
1200,9,-25.0,0.0,25.0,0.9998902825956366,0.9999012481907699,0.9999256612923964,0.9770428167666506,0.9793683946318499,0.9850782920239358,1.046461745466164,1.0442989336979662,1.03924717322019,1.0435626551993409,1.0425965993530693,1.037007184640963,1.0435626543498753,0.3333333333333333
1800,8,-25.0,0.0,25.0,0.9998902823685979,0.9999012480610715,0.9999256611531294,0.9770427677137461,0.9793683675947257,0.9850782614097486,1.0464616754194227,1.0442988955823023,1.0392471298289936,1.043562582949182,1.0425965611295438,1.0370071401227405,1.0435625820997154,0.5
2400,11,140.0,140.0,0.0,0.999881082171246,0.9998922900178802,0.9999166514173355,0.975084220359479,0.9774499793382617,0.9831279357038163,1.0496731556593233,1.041564993444114,1.0365115873901105,1.046789002408197,1.0398484250810414,1.0342680233424888,1.0467890015613635,0.6666666666666666
3000,11,70.0,70.0,0.0,0.9998852329801693,0.9998961250802124,0.9999206381559026,0.975971233237828,0.9782831681716828,0.9839922680233936,1.05094685641123,1.0487991646102133,1.0377238114481446,1.048067784297647,1.0471026838525876,1.035475398004408,1.048067783451847,0.8333333333333334
3600,8,0.0,0.0,0.0,0.9998892109969918,0.9998999941920396,0.9999245329466648,0.9768250724350969,0.979112276343829,0.9848329330299488,1.052175934922058,1.0499886144023123,1.0389029868392095,1.0492996646360944,1.0482942625830791,1.0366569743316907,1.0492996637911494,1.0
4200,6,0.0,0.0,0.0,0.9998892169471535,0.9998999980934464,0.999924537349352,0.9768263515148995,0.9791130979306021,0.9848338913679417,1.0521777734468192,1.0499897875927149,1.0389043460017144,1.049301483481701,1.048295477489513,1.0366583609597737,1.0493014826367546,1.1666666666666667
4800,7,0.0,0.0,0.0,0.9998892169395399,0.9998999980886926,0.999924537344271,0.9768263498768882,0.9791130969318224,0.9848338902601399,1.0521777710895945,1.0499897861728715,1.0389043444269785,1.0493014811474342,1.0482954760206027,1.036658359354486,1.0493014803024883,1.3333333333333333
5400,13,0.0,0.0,0.0,0.9998892109811234,0.9998999941821943,0.9999245329364664,0.9768250690198249,0.9791122742770233,0.9848329308050201,1.0521759300039926,1.049988611468195,1.0389029836752064,1.0492996597641537,1.048294259548502,1.0366569711080083,1.0492996589192085,1.5
